#Date: 2023-12-21 06:07:55
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status time-taken
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/UserProfile - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 9
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 19
2023-12-21 06:09:15 ::1 GET /Shell/img/terrasoft.axd s=nui-binary-syssetting&r=FaviconImage&source_hash=17031389 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 13
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/QueryProfile - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 15
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/QuerySchemaProfile - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 18
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 77
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 81
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/RuntimeEntitySchemaRequest - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 127
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/QuerySysSettings - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 95
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/QuerySysSettings - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 18
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 37
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 32
2023-12-21 06:09:15 ::1 POST /rest/OmnichannelOperatorService/GetCurrentState - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 21
2023-12-21 06:09:15 ::1 POST /rest/RightsService/GetSchemaEditRights - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 9
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 26
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/SchemaDesignerRequest - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 76
2023-12-21 06:09:15 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 19
2023-12-21 06:09:16 ::1 POST /DataService/json/SyncReply/QuerySysSettings - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 14
2023-12-21 06:09:16 ::1 POST /DataService/json/SyncReply/BatchQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 129
2023-12-21 06:09:16 ::1 POST /rest/CtiRightsService/GetUserHasOperationLicense - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 25
2023-12-21 06:09:16 ::1 POST /DataService/json/SyncReply/GetTelephonyConfig - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 16
2023-12-21 06:09:16 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 79
2023-12-21 06:09:16 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 280
2023-12-21 06:09:17 ::1 POST /DataService/json/SyncReply/RuntimeEntitySchemesRequest - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 1405
2023-12-21 06:09:17 ::1 POST /ServiceModel/BusinessRulesManagerService.svc/GetBusinessRules - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 17
2023-12-21 06:09:17 ::1 POST /rest/MacrosHelperService/GetTemplate - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 115
2023-12-21 06:09:17 ::1 POST /DataService/json/SyncReply/QuerySchemaProfile - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 7
2023-12-21 06:09:17 ::1 POST /DataService/json/SyncReply/RuntimeEntitySchemaRequest - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 6
2023-12-21 06:09:17 ::1 POST /DataService/json/SyncReply/RuntimeEntitySchemaRequest - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 28
2023-12-21 06:09:17 ::1 POST /DataService/json/SyncReply/RuntimeEntitySchemaRequest - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 5
2023-12-21 06:09:17 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 42
2023-12-21 06:09:17 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 49
2023-12-21 06:09:17 ::1 POST /DataService/json/SyncReply/SelectQuery - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/120.0.0.0+Safari/537.36 http://localhost:5000/Shell/ 200 104
